name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
Sage Simply Accounting,Technologies,Accounting software,1468,164.9384728640661,1,0.20663396369829753,Workforce digital skills
Sage Software Sage50,Technologies,Accounting software,1,164.23477558265134,1,1.407588308571509e-4,Workforce digital skills
Sage Timeslips,Technologies,Time accounting software,6,185.23110108254355,1,8.445529851429053e-4,Workforce digital skills
SAIC,Technologies,Industrial control software,8,199.12759673978445,1,0.0011260706468572072,Software/Product Development skills
Salamanders,Tools and Equipment,Miscellaneous or unclassified,4,231.4063904017338,0,5.630353234286036e-4,NA
Sales,Occupational Skills,"Sales, marketing and communications",8628,188.57160444719193,0,1.214467192635498,NA
Sales force automation software,Technologies,Customer relationship management CRM software,1,98.73806572663091,1,1.407588308571509e-4,Workforce digital skills
Sales management software,Technologies,Point of sale POS software,7,143.79972216170862,1,9.853118160000564e-4,Workforce digital skills
Sales software,Technologies,Point of sale POS software,86,160.03859394780602,1,0.012105259453714977,Workforce digital skills
Salesforce Marketing Cloud,Technologies,Web page creation and editing software,147,83.21345237509048,1,0.020691548136001183,Workforce digital skills
Salesforce software,Technologies,Customer relationship management CRM software,20,116.93725679153721,1,0.002815176617143018,Workforce digital skills
Salesforce.com Salesforce CRM,Technologies,Customer relationship management CRM software,3529,122.26821400920805,1,0.4967379140948855,Workforce digital skills
Saline locks,Tools and Equipment,Miscellaneous or unclassified,5,175.917411732355,0,7.037941542857545e-4,NA
Salt spreaders,Tools and Equipment,Miscellaneous or unclassified,8,315.0109436837999,0,0.0011260706468572072,NA
Samba,Technologies,Filesystem software,17,94.81629486631904,1,0.002392900124571565,Cybersecurity and System Infrastructure skills
Sample bottles,Tools and Equipment,Miscellaneous or unclassified,4,213.3826516079852,0,5.630353234286036e-4,NA
Sample containers,Tools and Equipment,Miscellaneous or unclassified,7,207.60692143759692,0,9.853118160000564e-4,NA
Sandbags,Tools and Equipment,Miscellaneous or unclassified,9,215.4249260950675,0,0.0012668294777143582,NA
Sandblasters,Tools and Equipment,Building and facilities,8,416.56256793716193,0,0.0011260706468572072,NA
Sanding blocks,Tools and Equipment,Miscellaneous or unclassified,2,318.7558179247436,0,2.815176617143018e-4,NA
Sanding machines,Tools and Equipment,Miscellaneous or unclassified,7,306.2837192579803,0,9.853118160000564e-4,NA
SAP,Technologies,Enterprise resource planning ERP software,8718,156.64643163843778,1,1.2271354874126414,Workforce digital skills
SAP APO,Technologies,Analytical or scientific software,65,116.48115861033826,1,0.009149324005714807,Workforce digital skills
SAP Business Intelligence,Technologies,Data base reporting software,398,98.07289384254845,1,0.05602201468114606,Workforce digital skills
SAP Business Objects,Technologies,Enterprise resource planning ERP software,230,55.806945933009736,1,0.03237453109714471,Software/Product Development skills
SAP Business One,Technologies,Enterprise resource planning ERP software,90,124.79113619522603,1,0.01266829477714358,Workforce digital skills
SAP Crystal Reports,Technologies,Data base reporting software,385,62.795317175601646,1,0.0541921498800031,Software/Product Development skills
SAP DMS,Technologies,Document management software,2,129.56071938089534,1,2.815176617143018e-4,Workforce digital skills
SAP EHS Management,Technologies,Compliance software,46,136.10789590177782,1,0.006474906219428942,Workforce digital skills
SAP ERP,Technologies,Enterprise resource planning ERP software,435,131.8544431808289,1,0.06123009142286064,Workforce digital skills
SAP ERP Financials,Technologies,Enterprise resource planning ERP software,11,19.49959122857802,1,0.0015483471394286599,Workforce digital skills
SAP ERP Operations,Technologies,Enterprise resource planning ERP software,2,163.47773723653856,1,2.815176617143018e-4,Workforce digital skills
SAP Fiori,Technologies,Enterprise resource planning ERP software,121,84.01990819077602,1,0.01703181853371526,Workforce digital skills
SAP HANA,Technologies,Enterprise resource planning ERP software,306,77.43287706231706,1,0.04307220224228818,Workforce digital skills
SAP IQ,Technologies,Data base management system software,3,73.98977491907915,1,4.2227649257145267e-4,Software/Product Development skills
SAP Lumira,Technologies,Enterprise resource planning ERP software,1,63.911000218768294,1,1.407588308571509e-4,Software/Product Development skills
SAP Maintenance,Technologies,Enterprise resource planning ERP software,99,107.34128606375864,1,0.013935124254857939,Workforce digital skills
SAP Master Data Management MDM,Technologies,Metadata management software,36,74.5512801007893,1,0.005067317910857433,Software/Product Development skills
SAP NetWeaver,Technologies,Enterprise application integration software,21,71.90137839286508,1,0.002955935448000169,Software/Product Development skills
SAP SCM,Technologies,Materials requirements planning logistics and supply chain software,34,83.06296827903216,1,0.00478580024914313,Workforce digital skills
SAP Sybase IQ,Technologies,Data base management system software,4,63.16498504280927,1,5.630353234286036e-4,Software/Product Development skills
SAP Sybase PowerBuilder,Technologies,Object or component oriented development software,7,5.738622708528063,1,9.853118160000564e-4,Software/Product Development skills
SAS,Technologies,Analytical or scientific software,2027,72.44374829128999,1,0.2853181501474449,Software/Product Development skills
SAS Data Integration Studio,Technologies,Enterprise application integration software,1,11.5384001064821,1,1.407588308571509e-4,Software/Product Development skills
SAS Enterprise Miner,Technologies,Data mining software,4,94.71282525451862,1,5.630353234286036e-4,Software/Product Development skills
SAS JMP,Technologies,Analytical or scientific software,4,27.4099775633387,1,5.630353234286036e-4,Software/Product Development skills
Satellite phones,Tools and Equipment,Miscellaneous or unclassified,12,105.944577560832,0,0.0016891059702858107,NA
Satellite receivers,Tools and Equipment,Miscellaneous or unclassified,9,60.58669678980524,1,0.0012668294777143582,Software/Product Development skills
Satellite telephones,Tools and Equipment,Miscellaneous or unclassified,3,17.718736798500135,1,4.2227649257145267e-4,NA
Saucepans,Tools and Equipment,Kitchen equipment,2,364.65104347343595,0,2.815176617143018e-4,NA
Sawbucks,Tools and Equipment,Miscellaneous or unclassified,11,283.443589266515,0,0.0015483471394286599,NA
Sawing machines,Tools and Equipment,Miscellaneous or unclassified,15,225.80711135326328,0,0.002111382462857263,NA
Scaffolding,Tools and Equipment,Building and facilities,2537,406.29151819927944,0,0.35710515388459185,NA
Scala,Technologies,Object or component oriented development software,595,17.740658101958676,1,0.0837515043600048,Software/Product Development skills
Scalers,Tools and Equipment,Miscellaneous or unclassified,17,218.77259083557527,0,0.002392900124571565,NA
Scalpels,Tools and Equipment,Miscellaneous or unclassified,7,226.4531245672758,0,9.853118160000564e-4,NA
Scanning electron microscopes,Tools and Equipment,Miscellaneous or unclassified,1,75.01751043947371,0,1.407588308571509e-4,NA
Scanning software,Technologies,Optical character reader OCR or scanning software,15,211.18234232470135,1,0.002111382462857263,Workforce digital skills
Scheduling,Social-Emotional Skills,Resource management,22362,181.7126917581722,0,3.1476489756276087,NA
Scheduling databases,Technologies,Data base user interface and query software,2,139.07769967644538,1,2.815176617143018e-4,Workforce digital skills
Scheduling software,Technologies,Calendar and scheduling software,387,180.4563200941921,1,0.0544736675417174,Workforce digital skills
